job_id,job_title,company,location,skills,salary,employment_type,experience_text,experience_years,job_text,skills_clean,job_text_clean,esco_skills,esco_skill_ids,matched_skill_count,original_skill_count,skill_match_percentage,matching_text
38,,Urban Company Ltd.,Bangalore,"MS-Excel, English Proficiency (Written)","₹ 3,30,000 - 4,00,000 /year",,0 year(s),0.0,"Urban Company Ltd. Bangalore MS-Excel, English Proficiency (Written) 0 year(s)","ms-excel, english proficiency (written)","urban company ltd. bangalore ms-excel, english proficiency (written) 0 year(s)",english; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,2,2,100.0,"urban company ltd. bangalore ms-excel, english proficiency (written) english; r"
39,,KnowledgeWorks Global Limited,"Chennai, Mumbai",English Proficiency (Spoken)English Proficiency (Written),"₹ 3,25,000 - 5,50,000 /year",,0 year(s),0.0,"KnowledgeWorks Global Limited Chennai, Mumbai English Proficiency (Spoken)English Proficiency (Written) 0 year(s)",english proficiency (spoken)english proficiency (written),"knowledgeworks global limited chennai, mumbai english proficiency (spoken)english proficiency (written) 0 year(s)",english; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,2,1,200.0,"knowledgeworks global limited chennai, mumbai english proficiency (spoken)english proficiency (written) english; r"
40,,RMSI Private Limited,Hyderabad,SQLMS SQL ServerGISArcGISSSMS,"₹ 3,20,000 - 4,50,000 /year",,1 year(s),1.0,RMSI Private Limited Hyderabad SQLMS SQL ServerGISArcGISSSMS 1 year(s),sqlms sql servergisarcgisssms,rmsi private limited hyderabad sqlms sql servergisarcgisssms 1 year(s),r; sql; sql server,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742; http://data.europa.eu/esco/skill/c062bab3-3ea0-4291-9220-a2d8fef4bead,3,1,300.0,rmsi private limited hyderabad sqlms sql servergisarcgisssms r; sql; sql server
41,,Urban Company,Gurgaon,Effective Communication,"₹ 3,10,000 - 4,00,000 /year",,0 year(s),0.0,Urban Company Gurgaon Effective Communication 0 year(s),effective communication,urban company gurgaon effective communication 0 year(s),communication,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7,1,1,100.0,urban company gurgaon effective communication communication
42,,Paisabazaar,Gurgaon,Investment BankingSales,"₹ 3,00,001 - 4,60,008 /year",,1 year(s),1.0,Paisabazaar Gurgaon Investment BankingSales 1 year(s),investment bankingsales,paisabazaar gurgaon investment bankingsales 1 year(s),investment banking,http://data.europa.eu/esco/skill/49047409-9307-4b41-9b04-a9615f049044,1,1,100.0,paisabazaar gurgaon investment bankingsales investment banking
43,,Mintifi Finserve Private Limited,Mumbai,"MS-Office, MS-Excel, English Proficiency (Spoken)","₹ 3,00,000 - 6,00,000 /year",,1 year(s),1.0,"Mintifi Finserve Private Limited Mumbai MS-Office, MS-Excel, English Proficiency (Spoken) 1 year(s)","ms-office, ms-excel, english proficiency (spoken)","mintifi finserve private limited mumbai ms-office, ms-excel, english proficiency (spoken) 1 year(s)",english; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,2,3,66.67,"mintifi finserve private limited mumbai ms-office, ms-excel, english proficiency (spoken) english; r"
44,,Starcrest Services Pvt. Ltd.,"Delhi, Gurgaon, Noida",MS-OfficeRecruitment,"₹ 3,00,000 - 5,00,000 /year",,1 year(s),1.0,"Starcrest Services Pvt. Ltd. Delhi, Gurgaon, Noida MS-OfficeRecruitment 1 year(s)",ms-officerecruitment,"starcrest services pvt. ltd. delhi, gurgaon, noida ms-officerecruitment 1 year(s)",r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b,1,1,100.0,"starcrest services pvt. ltd. delhi, gurgaon, noida ms-officerecruitment r"
45,,Lishanth Enterprises,"Narasaraopet, Anakapalle, Macherla, Prathipadu, Bapatla, Chirala, Gajuwaka Part",Client Relationship Management (CRM)CoordinationSales ManagementClient RelationshipNegotiationsCustomer AcquisitionSales Strategy,"₹ 3,00,000 - 4,80,000 /year",,0 year(s),0.0,"Lishanth Enterprises Narasaraopet, Anakapalle, Macherla, Prathipadu, Bapatla, Chirala, Gajuwaka Part Client Relationship Management (CRM)CoordinationSales ManagementClient RelationshipNegotiationsCustomer AcquisitionSales Strategy 0 year(s)",client relationship management (crm)coordinationsales managementclient relationshipnegotiationscustomer acquisitionsales strategy,"lishanth enterprises narasaraopet, anakapalle, macherla, prathipadu, bapatla, chirala, gajuwaka part client relationship management (crm)coordinationsales managementclient relationshipnegotiationscustomer acquisitionsales strategy 0 year(s)",r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b,1,1,100.0,"lishanth enterprises narasaraopet, anakapalle, macherla, prathipadu, bapatla, chirala, gajuwaka part client relationship management (crm)coordinationsales managementclient relationshipnegotiationscustomer acquisitionsales strategy r"
46,,Centific,Work from home,Effective Communication,"₹ 3,00,000 - 4,70,000 /year",,0 year(s),0.0,Centific Work from home Effective Communication 0 year(s),effective communication,centific work from home effective communication 0 year(s),communication,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7,1,1,100.0,centific work from home effective communication communication
47,,Scaler,Bangalore,English Proficiency (Spoken)Hindi Proficiency (Spoken)Effective Communication,"₹ 3,00,000 - 4,50,000 /year",,1 year(s),1.0,Scaler Bangalore English Proficiency (Spoken)Hindi Proficiency (Spoken)Effective Communication 1 year(s),english proficiency (spoken)hindi proficiency (spoken)effective communication,scaler bangalore english proficiency (spoken)hindi proficiency (spoken)effective communication 1 year(s),communication; english; hindi; r,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7; http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0; http://data.europa.eu/esco/skill/d93a7370-bf56-43f5-be54-e108f8ec3107,4,1,400.0,scaler bangalore english proficiency (spoken)hindi proficiency (spoken)effective communication communication; english; hindi; r
48,,Zucol Group Of Companies,Pune,Creative WritingEnglish Proficiency (Spoken)English Proficiency (Written)Network protocols,"₹ 3,00,000 - 4,04,000 /year",,0 year(s),0.0,Zucol Group Of Companies Pune Creative WritingEnglish Proficiency (Spoken)English Proficiency (Written)Network protocols 0 year(s),creative writingenglish proficiency (spoken)english proficiency (written)network protocols,zucol group of companies pune creative writingenglish proficiency (spoken)english proficiency (written)network protocols 0 year(s),english; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,2,1,200.0,zucol group of companies pune creative writingenglish proficiency (spoken)english proficiency (written)network protocols english; r
49,,Cloudnine Hospital,Bangalore,"MS-Excel, English Proficiency (Written)CanvaPivot TableVLOOKUP","₹ 3,00,000 - 4,00,000 /year",,0 year(s),0.0,"Cloudnine Hospital Bangalore MS-Excel, English Proficiency (Written)CanvaPivot TableVLOOKUP 0 year(s)","ms-excel, english proficiency (written)canvapivot tablevlookup","cloudnine hospital bangalore ms-excel, english proficiency (written)canvapivot tablevlookup 0 year(s)",english; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,2,2,100.0,"cloudnine hospital bangalore ms-excel, english proficiency (written)canvapivot tablevlookup english; r"
50,,Webvio Technologies,Delhi,BloggingSearch Engine Optimization (SEO)Creative WritingProofreadingEnglish Proficiency (Written)Research and Analytics,"₹ 3,00,000 - 4,00,000 /year",,1 year(s),1.0,Webvio Technologies Delhi BloggingSearch Engine Optimization (SEO)Creative WritingProofreadingEnglish Proficiency (Written)Research and Analytics 1 year(s),bloggingsearch engine optimization (seo)creative writingproofreadingenglish proficiency (written)research and analytics,webvio technologies delhi bloggingsearch engine optimization (seo)creative writingproofreadingenglish proficiency (written)research and analytics 1 year(s),english; logging; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0; http://data.europa.eu/esco/skill/e8488824-3865-4d2a-97e9-fe4647d6add3,3,1,300.0,webvio technologies delhi bloggingsearch engine optimization (seo)creative writingproofreadingenglish proficiency (written)research and analytics english; logging; r
